,Year_Month,HMV,LMV,MSL
301,Jan-85,123,-4,52.9
302,Feb-85,138,-15,57.8
303,Mar-85,139,-35,51
304,Apr-85,130,-37,57.1
305,May-85,148,-12,63.9
306,Jun-85,142,6,75.2
307,Jul-85,150,9,77.9
308,Aug-85,150,6,75.4
309,Sep-85,144,-6,71
310,Oct-85,145,-9,70.7
311,Nov-85,148,-7,65.6
312,Dec-85,131,-8,54.4
313,Jan-86,120,-16,52.7
314,Feb-86,134,-20,54.7
315,Mar-86,141,-18,62
316,Apr-86,135,-17,60.4
317,May-86,139,-11,62.7
318,Jun-86,137,9,70.5
319,Jul-86,151,18,75.8
320,Aug-86,151,16,80.3
321,Sep-86,156,3,77.2
322,Oct-86,138,1,69.9
323,Nov-86,133,-8,58.8
324,Dec-86,139,-5,67.8
325,Jan-87,144,-22,62.7
326,Feb-87,134,-20,59.1
327,Mar-87,133,-26,58.9
328,Apr-87,125,-19,58.1
329,May-87,140,-4,63.2
330,Jun-87,140,1,70.8
331,Jul-87,149,10,74.7
332,Aug-87,151,-1,77.1
333,Sep-87,145,-1,77.1
334,Oct-87,141,-7,68.8
335,Nov-87,129,-5,63.4
336,Dec-87,133,3,62.5
337,Jan-88,144,-13,54.8
338,Feb-88,130,-29,54
339,Mar-88,133,-24,59
340,Apr-88,134,-19,61.5
341,May-88,132,1,66.9
342,Jun-88,146,18,75
343,Jul-88,153,11,79.9
344,Aug-88,158,4,79.1
345,Sep-88,159,5,80.5
346,Oct-88,149,-1,75.1
347,Nov-88,129,2,62.5
348,Dec-88,124,1,55.9
349,Jan-89,136,0,58.6
350,Feb-89,130,-17,55.4
351,Mar-89,128,-30,60.2
352,Apr-89,134,-18,62.9
353,May-89,141,0,67.4
354,Jun-89,138,3,73
355,Jul-89,147,10,76.3
356,Aug-89,160,16,88.5
357,Sep-89,149,0,82.1
358,Oct-89,147,-6,67.4
359,Nov-89,142,2,67.8
360,Dec-89,131,6,67.2
361,Jan-90,139,-14,59.8
362,Feb-90,130,-24,54.2
363,Mar-90,142,-22,57.9
364,Apr-90,141,-10,66.6
365,May-90,131,-4,64.1
366,Jun-90,143,9,71.9
367,Jul-90,139,8,76.8
